identifier,file_root,label
event-1978-09-23_00-40,2026-05-08/slice/GOES-g03/1978-09-23T00-40-00.csv,1
event-1978-09-23_21-25,2026-05-08/slice/GOES-g03/1978-09-23T21-25-00.csv,1
event-1978-09-25_02-30,2026-05-08/slice/GOES-g03/1978-09-25T02-30-00.csv,1
event-1978-09-25_21-25,2026-05-08/slice/GOES-g03/1978-09-25T21-25-00.csv,1
event-1979-04-03_10-45,2026-05-08/slice/GOES-g03/1979-04-03T10-45-00.csv,1
event-1979-04-03_17-30,2026-05-08/slice/GOES-g03/1979-04-03T17-30-00.csv,1
event-1979-04-29_10-50,2026-05-08/slice/GOES-g03/1979-04-29T10-50-00.csv,1
event-1979-06-06_07-25,2026-05-08/slice/GOES-g03/1979-06-06T07-25-00.csv,1
event-1979-07-06_18-35,2026-05-08/slice/GOES-g03/1979-07-06T18-35-00.csv,1
event-1979-08-19_07-40,2026-05-08/slice/GOES-g03/1979-08-19T07-40-00.csv,1
event-1979-08-21_01-20,2026-05-08/slice/GOES-g03/1979-08-21T01-20-00.csv,1
event-1979-09-15_21-30,2026-05-08/slice/GOES-g03/1979-09-15T21-30-00.csv,1
event-1979-09-16_11-40,2026-05-08/slice/GOES-g03/1979-09-16T11-40-00.csv,1
event-1979-09-16_14-40,2026-05-08/slice/GOES-g03/1979-09-16T14-40-00.csv,1
event-1979-09-16_21-30,2026-05-08/slice/GOES-g03/1979-09-16T21-30-00.csv,1
event-1979-09-17_09-00,2026-05-08/slice/GOES-g03/1979-09-17T09-00-00.csv,1
event-1979-09-17_21-30,2026-05-08/slice/GOES-g03/1979-09-17T21-30-00.csv,1
event-1979-09-19_21-35,2026-05-08/slice/GOES-g03/1979-09-19T21-35-00.csv,1
event-1979-11-15_19-25,2026-05-08/slice/GOES-g03/1979-11-15T19-25-00.csv,1
non-event-1978-07-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-07-01T00-00-00.csv,0
non-event-1978-08-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-08-01T00-00-00.csv,0
non-event-1978-09-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-09-01T00-00-00.csv,0
non-event-1978-10-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-10-01T00-00-00.csv,0
non-event-1978-11-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-11-01T00-00-00.csv,0
non-event-1978-12-01_00-00,2026-05-08/slice/GOES-g03/non_event/1978-12-01T00-00-00.csv,0
non-event-1979-01-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-01-01T00-00-00.csv,0
non-event-1979-02-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-02-01T00-00-00.csv,0
non-event-1979-03-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-03-01T00-00-00.csv,0
non-event-1979-04-04_08-35,2026-05-08/slice/GOES-g03/non_event/1979-04-04T08-35-00.csv,0
non-event-1979-05-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-05-01T00-00-00.csv,0
non-event-1979-06-08_09-10,2026-05-08/slice/GOES-g03/non_event/1979-06-08T09-10-00.csv,0
non-event-1979-07-07_12-05,2026-05-08/slice/GOES-g03/non_event/1979-07-07T12-05-00.csv,0
non-event-1979-08-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-08-01T00-00-00.csv,0
non-event-1979-09-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-09-01T00-00-00.csv,0
non-event-1979-10-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-10-01T00-00-00.csv,0
non-event-1979-11-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-11-01T00-00-00.csv,0
non-event-1979-12-01_00-00,2026-05-08/slice/GOES-g03/non_event/1979-12-01T00-00-00.csv,0
event-1984-02-15_21-35,2026-05-08/slice/GOES-g05/1984-02-15T21-35-00.csv,1
event-1984-04-25_19-25,2026-05-08/slice/GOES-g05/1984-04-25T19-25-00.csv,1
event-1985-04-25_15-55,2026-05-08/slice/GOES-g05/1985-04-25T15-55-00.csv,1
event-1986-02-05_23-00,2026-05-08/slice/GOES-g05/1986-02-05T23-00-00.csv,1
event-1986-02-07_06-45,2026-05-08/slice/GOES-g05/1986-02-07T06-45-00.csv,1
event-1986-02-07_13-20,2026-05-08/slice/GOES-g05/1986-02-07T13-20-00.csv,1
event-1986-02-14_02-20,2026-05-08/slice/GOES-g05/1986-02-14T02-20-00.csv,1
event-1986-02-14_07-50,2026-05-08/slice/GOES-g05/1986-02-14T07-50-00.csv,1
event-1986-02-16_12-45,2026-05-08/slice/GOES-g05/1986-02-16T12-45-00.csv,1
event-1986-03-06_06-25,2026-05-08/slice/GOES-g05/1986-03-06T06-25-00.csv,1
event-1986-05-04_01-00,2026-05-08/slice/GOES-g05/1986-05-04T01-00-00.csv,1
non-event-1984-01-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-01-01T00-00-00.csv,0
non-event-1984-02-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-02-01T00-00-00.csv,0
non-event-1984-03-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-03-01T00-00-00.csv,0
non-event-1984-04-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-04-01T00-00-00.csv,0
non-event-1984-05-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-05-01T00-00-00.csv,0
non-event-1984-06-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-06-01T00-00-00.csv,0
non-event-1984-07-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-07-01T00-00-00.csv,0
non-event-1984-08-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-08-01T00-00-00.csv,0
non-event-1984-09-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-09-01T00-00-00.csv,0
non-event-1984-10-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-10-01T00-00-00.csv,0
non-event-1984-11-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-11-01T00-00-00.csv,0
non-event-1984-12-01_00-00,2026-05-08/slice/GOES-g05/non_event/1984-12-01T00-00-00.csv,0
non-event-1985-02-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-02-01T00-00-00.csv,0
non-event-1985-03-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-03-01T00-00-00.csv,0
non-event-1985-04-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-04-01T00-00-00.csv,0
non-event-1985-05-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-05-01T00-00-00.csv,0
non-event-1985-06-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-06-01T00-00-00.csv,0
non-event-1985-07-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-07-01T00-00-00.csv,0
non-event-1985-08-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-08-01T00-00-00.csv,0
non-event-1985-09-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-09-01T00-00-00.csv,0
non-event-1985-10-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-10-01T00-00-00.csv,0
non-event-1985-11-01_00-00,2026-05-08/slice/GOES-g05/non_event/1985-11-01T00-00-00.csv,0
non-event-1986-01-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-01-01T00-00-00.csv,0
non-event-1986-02-15_14-25,2026-05-08/slice/GOES-g05/non_event/1986-02-15T14-25-00.csv,0
non-event-1986-02-17_09-35,2026-05-08/slice/GOES-g05/non_event/1986-02-17T09-35-00.csv,0
non-event-1986-03-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-03-01T00-00-00.csv,0
non-event-1986-03-06_22-15,2026-05-08/slice/GOES-g05/non_event/1986-03-06T22-15-00.csv,0
non-event-1986-04-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-04-01T00-00-00.csv,0
non-event-1986-05-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-05-01T00-00-00.csv,0
non-event-1986-05-04_16-55,2026-05-08/slice/GOES-g05/non_event/1986-05-04T16-55-00.csv,0
non-event-1986-06-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-06-01T00-00-00.csv,0
non-event-1986-07-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-07-01T00-00-00.csv,0
non-event-1986-08-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-08-01T00-00-00.csv,0
non-event-1986-09-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-09-01T00-00-00.csv,0
non-event-1986-10-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-10-01T00-00-00.csv,0
non-event-1986-11-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-11-01T00-00-00.csv,0
non-event-1986-12-01_00-00,2026-05-08/slice/GOES-g05/non_event/1986-12-01T00-00-00.csv,0
non-event-1987-01-01_00-00,2026-05-08/slice/GOES-g05/non_event/1987-01-01T00-00-00.csv,0
non-event-1987-02-01_00-00,2026-05-08/slice/GOES-g05/non_event/1987-02-01T00-00-00.csv,0
event-1985-04-25_16-20,2026-05-08/slice/GOES-g06/1985-04-25T16-20-00.csv,1
event-1986-02-06_00-05,2026-05-08/slice/GOES-g06/1986-02-06T00-05-00.csv,1
event-1986-02-14_02-40,2026-05-08/slice/GOES-g06/1986-02-14T02-40-00.csv,1
event-1986-02-14_11-35,2026-05-08/slice/GOES-g06/1986-02-14T11-35-00.csv,1
event-1987-11-07_19-25,2026-05-08/slice/GOES-g06/1987-11-07T19-25-00.csv,1
event-1988-01-02_15-55,2026-05-08/slice/GOES-g06/1988-01-02T15-55-00.csv,1
event-1989-03-08_21-45,2026-05-08/slice/GOES-g06/1989-03-08T21-45-00.csv,1
event-1989-03-09_08-35,2026-05-08/slice/GOES-g06/1989-03-09T08-35-00.csv,1
event-1989-03-09_21-45,2026-05-08/slice/GOES-g06/1989-03-09T21-45-00.csv,1
event-1989-03-10_15-50,2026-05-08/slice/GOES-g06/1989-03-10T15-50-00.csv,1
event-1989-03-10_21-50,2026-05-08/slice/GOES-g06/1989-03-10T21-50-00.csv,1
event-1989-03-12_07-10,2026-05-08/slice/GOES-g06/1989-03-12T07-10-00.csv,1
event-1989-03-12_10-45,2026-05-08/slice/GOES-g06/1989-03-12T10-45-00.csv,1
event-1989-03-12_21-45,2026-05-08/slice/GOES-g06/1989-03-12T21-45-00.csv,1
event-1989-03-17_07-10,2026-05-08/slice/GOES-g06/1989-03-17T07-10-00.csv,1
event-1989-03-17_13-40,2026-05-08/slice/GOES-g06/1989-03-17T13-40-00.csv,1
event-1989-03-17_21-45,2026-05-08/slice/GOES-g06/1989-03-17T21-45-00.csv,1
event-1989-03-18_16-20,2026-05-08/slice/GOES-g06/1989-03-18T16-20-00.csv,1
event-1989-03-18_21-45,2026-05-08/slice/GOES-g06/1989-03-18T21-45-00.csv,1
event-1989-03-23_09-00,2026-05-08/slice/GOES-g06/1989-03-23T09-00-00.csv,1
event-1989-04-11_05-55,2026-05-08/slice/GOES-g06/1989-04-11T05-55-00.csv,1
event-1989-04-11_10-50,2026-05-08/slice/GOES-g06/1989-04-11T10-50-00.csv,1
event-1989-04-12_14-15,2026-05-08/slice/GOES-g06/1989-04-12T14-15-00.csv,1
event-1989-04-13_14-20,2026-05-08/slice/GOES-g06/1989-04-13T14-20-00.csv,1
event-1989-05-05_21-45,2026-05-08/slice/GOES-g06/1989-05-05T21-45-00.csv,1
event-1989-07-24_21-15,2026-05-08/slice/GOES-g06/1989-07-24T21-15-00.csv,1
event-1989-08-12_04-50,2026-05-08/slice/GOES-g06/1989-08-12T04-50-00.csv,1
event-1989-08-12_07-15,2026-05-08/slice/GOES-g06/1989-08-12T07-15-00.csv,1
event-1989-08-14_23-35,2026-05-08/slice/GOES-g06/1989-08-14T23-35-00.csv,1
event-1989-08-19_12-20,2026-05-08/slice/GOES-g06/1989-08-19T12-20-00.csv,1
event-1989-08-23_05-55,2026-05-08/slice/GOES-g06/1989-08-23T05-55-00.csv,1
event-1989-09-12_21-35,2026-05-08/slice/GOES-g06/1989-09-12T21-35-00.csv,1
event-1989-09-29_00-15,2026-05-08/slice/GOES-g06/1989-09-29T00-15-00.csv,1
event-1989-09-29_01-25,2026-05-08/slice/GOES-g06/1989-09-29T01-25-00.csv,1
event-1989-09-29_18-20,2026-05-08/slice/GOES-g06/1989-09-29T18-20-00.csv,1
event-1989-09-29_18-25,2026-05-08/slice/GOES-g06/1989-09-29T18-25-00.csv,1
event-1989-09-29_21-25,2026-05-08/slice/GOES-g06/1989-09-29T21-25-00.csv,1
event-1989-09-30_12-00,2026-05-08/slice/GOES-g06/1989-09-30T12-00-00.csv,1
event-1989-09-30_21-25,2026-05-08/slice/GOES-g06/1989-09-30T21-25-00.csv,1
event-1989-10-01_21-25,2026-05-08/slice/GOES-g06/1989-10-01T21-25-00.csv,1
event-1989-10-02_21-20,2026-05-08/slice/GOES-g06/1989-10-02T21-20-00.csv,1
event-1989-10-19_01-10,2026-05-08/slice/GOES-g06/1989-10-19T01-10-00.csv,1
event-1989-10-19_03-15,2026-05-08/slice/GOES-g06/1989-10-19T03-15-00.csv,1
event-1989-10-19_10-40,2026-05-08/slice/GOES-g06/1989-10-19T10-40-00.csv,1
event-1989-10-20_02-35,2026-05-08/slice/GOES-g06/1989-10-20T02-35-00.csv,1
event-1989-10-20_06-45,2026-05-08/slice/GOES-g06/1989-10-20T06-45-00.csv,1
event-1989-10-22_04-55,2026-05-08/slice/GOES-g06/1989-10-22T04-55-00.csv,1
event-1989-10-22_14-15,2026-05-08/slice/GOES-g06/1989-10-22T14-15-00.csv,1
event-1989-10-22_19-40,2026-05-08/slice/GOES-g06/1989-10-22T19-40-00.csv,1
event-1989-10-23_06-10,2026-05-08/slice/GOES-g06/1989-10-23T06-10-00.csv,1
event-1989-10-23_06-15,2026-05-08/slice/GOES-g06/1989-10-23T06-15-00.csv,1
event-1989-10-23_09-20,2026-05-08/slice/GOES-g06/1989-10-23T09-20-00.csv,1
event-1989-10-25_07-20,2026-05-08/slice/GOES-g06/1989-10-25T07-20-00.csv,1
event-1989-10-25_14-20,2026-05-08/slice/GOES-g06/1989-10-25T14-20-00.csv,1
event-1989-10-27_18-35,2026-05-08/slice/GOES-g06/1989-10-27T18-35-00.csv,1
event-1989-10-28_21-15,2026-05-08/slice/GOES-g06/1989-10-28T21-15-00.csv,1
event-1989-11-14_20-20,2026-05-08/slice/GOES-g06/1989-11-14T20-20-00.csv,1
event-1989-11-27_15-40,2026-05-08/slice/GOES-g06/1989-11-27T15-40-00.csv,1
event-1989-11-27_20-25,2026-05-08/slice/GOES-g06/1989-11-27T20-25-00.csv,1
event-1989-11-30_03-10,2026-05-08/slice/GOES-g06/1989-11-30T03-10-00.csv,1
event-1989-11-30_03-55,2026-05-08/slice/GOES-g06/1989-11-30T03-55-00.csv,1
event-1989-11-30_12-00,2026-05-08/slice/GOES-g06/1989-11-30T12-00-00.csv,1
event-1990-03-18_21-45,2026-05-08/slice/GOES-g06/1990-03-18T21-45-00.csv,1
event-1990-03-18_22-00,2026-05-08/slice/GOES-g06/1990-03-18T22-00-00.csv,1
event-1990-03-19_21-45,2026-05-08/slice/GOES-g06/1990-03-19T21-45-00.csv,1
event-1990-04-27_22-30,2026-05-08/slice/GOES-g06/1990-04-27T22-30-00.csv,1
event-1990-05-21_12-05,2026-05-08/slice/GOES-g06/1990-05-21T12-05-00.csv,1
event-1990-05-21_17-00,2026-05-08/slice/GOES-g06/1990-05-21T17-00-00.csv,1
event-1990-05-24_09-20,2026-05-08/slice/GOES-g06/1990-05-24T09-20-00.csv,1
event-1990-05-24_12-05,2026-05-08/slice/GOES-g06/1990-05-24T12-05-00.csv,1
event-1990-05-28_00-35,2026-05-08/slice/GOES-g06/1990-05-28T00-35-00.csv,1
event-1990-06-12_01-25,2026-05-08/slice/GOES-g06/1990-06-12T01-25-00.csv,1
event-1990-07-31_20-25,2026-05-08/slice/GOES-g06/1990-07-31T20-25-00.csv,1
event-1990-08-01_01-30,2026-05-08/slice/GOES-g06/1990-08-01T01-30-00.csv,1
event-1991-01-31_00-05,2026-05-08/slice/GOES-g06/1991-01-31T00-05-00.csv,1
event-1991-01-31_01-10,2026-05-08/slice/GOES-g06/1991-01-31T01-10-00.csv,1
event-1991-01-31_12-00,2026-05-08/slice/GOES-g06/1991-01-31T12-00-00.csv,1
event-1991-03-22_21-40,2026-05-08/slice/GOES-g06/1991-03-22T21-40-00.csv,1
event-1991-03-22_22-25,2026-05-08/slice/GOES-g06/1991-03-22T22-25-00.csv,1
event-1991-03-23_21-40,2026-05-08/slice/GOES-g06/1991-03-23T21-40-00.csv,1
event-1991-03-24_21-40,2026-05-08/slice/GOES-g06/1991-03-24T21-40-00.csv,1
event-1991-03-25_07-55,2026-05-08/slice/GOES-g06/1991-03-25T07-55-00.csv,1
event-1991-03-25_21-35,2026-05-08/slice/GOES-g06/1991-03-25T21-35-00.csv,1
event-1991-03-25_23-20,2026-05-08/slice/GOES-g06/1991-03-25T23-20-00.csv,1
event-1991-03-26_21-35,2026-05-08/slice/GOES-g06/1991-03-26T21-35-00.csv,1
event-1991-03-27_21-35,2026-05-08/slice/GOES-g06/1991-03-27T21-35-00.csv,1
event-1991-04-03_16-55,2026-05-08/slice/GOES-g06/1991-04-03T16-55-00.csv,1
event-1991-05-12_15-15,2026-05-08/slice/GOES-g06/1991-05-12T15-15-00.csv,1
event-1991-05-12_16-35,2026-05-08/slice/GOES-g06/1991-05-12T16-35-00.csv,1
event-1991-06-04_09-50,2026-05-08/slice/GOES-g06/1991-06-04T09-50-00.csv,1
event-1991-06-05_02-10,2026-05-08/slice/GOES-g06/1991-06-05T02-10-00.csv,1
event-1991-06-06_13-10,2026-05-08/slice/GOES-g06/1991-06-06T13-10-00.csv,1
event-1991-06-07_15-20,2026-05-08/slice/GOES-g06/1991-06-07T15-20-00.csv,1
event-1991-06-08_00-00,2026-05-08/slice/GOES-g06/1991-06-08T00-00-00.csv,1
event-1991-06-08_10-40,2026-05-08/slice/GOES-g06/1991-06-08T10-40-00.csv,1
