output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-03_21-25.json,gsep_001,1986-02-03 21:25:00,1986-02-04 09:25:00,close,1986-02-04 09:25:00,0.00,56,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-05_05-50.json,gsep_002,1986-02-05 05:50:00,1986-02-05 17:50:00,not_found,,,42,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-05_23-00.json,gsep_003,1986-02-05 23:00:00,1986-02-06 11:00:00,close,1986-02-06 10:10:00,-50.00,15,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-07_01-00.json,gsep_004,1986-02-07 01:00:00,1986-02-07 13:00:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-10_09-00.json,gsep_005,1986-02-10 09:00:00,1986-02-10 21:00:00,close,1986-02-10 20:55:00,-5.00,98,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-14_02-20.json,gsep_006,1986-02-14 02:20:00,1986-02-14 14:20:00,close,1986-02-14 13:30:00,-50.00,39,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-02-16_14-20.json,gsep_006_1,1986-02-16 14:20:00,1986-02-17 02:20:00,not_found,,,15,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-03-06_06-25.json,gsep_007,1986-03-06 06:25:00,1986-03-06 18:25:00,not_found,,,10,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1986-05-04_01-00.json,gsep_008,1986-05-04 01:00:00,1986-05-04 13:00:00,close,1986-05-04 12:35:00,-25.00,21,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1987-05-29_05-25.json,gsep_008_1,1987-05-29 05:25:00,1987-05-29 17:25:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1987-11-07_19-50.json,gsep_009,1987-11-07 19:50:00,1987-11-08 07:50:00,close,1987-11-08 07:40:00,-10.00,9,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1987-12-29_14-15.json,gsep_010,1987-12-29 14:15:00,1987-12-30 02:15:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-01-02_15-55.json,gsep_011,1988-01-02 15:55:00,1988-01-03 03:55:00,close,1988-01-03 03:35:00,-20.00,9,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-03-25_10-50.json,gsep_012,1988-03-25 10:50:00,1988-03-25 22:50:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-06-14_17-20.json,gsep_013,1988-06-14 17:20:00,1988-06-15 05:20:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-06-29_23-25.json,gsep_014,1988-06-29 23:25:00,1988-06-30 11:25:00,close,1988-06-30 10:40:00,-45.00,10,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-07-19_19-00.json,gsep_015,1988-07-19 19:00:00,1988-07-20 07:00:00,not_found,,,47,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-07-26_09-40.json,gsep_016,1988-07-26 09:40:00,1988-07-26 21:40:00,close,1988-07-26 21:30:00,-10.00,33,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-08-25_01-55.json,gsep_017,1988-08-25 01:55:00,1988-08-25 13:55:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-09-27_09-20.json,gsep_017_1,1988-09-27 09:20:00,1988-09-27 21:20:00,not_found,,,6,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-10-04_20-55.json,gsep_017_2,1988-10-04 20:55:00,1988-10-05 08:55:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-10-11_18-45.json,gsep_018,1988-10-11 18:45:00,1988-10-12 06:45:00,not_found,,,10,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-10-13_10-00.json,gsep_018_1,1988-10-13 10:00:00,1988-10-13 22:00:00,close,1988-10-13 21:35:00,-25.00,66,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-11-08_01-50.json,gsep_019,1988-11-08 01:50:00,1988-11-08 13:50:00,close,1988-11-08 13:25:00,-25.00,9,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-11-13_13-30.json,gsep_020,1988-11-13 13:30:00,1988-11-14 01:30:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-12-12_23-10.json,gsep_020_1,1988-12-12 23:10:00,1988-12-13 11:10:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-12-14_00-10.json,gsep_021,1988-12-14 00:10:00,1988-12-14 12:10:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-12-15_21-40.json,gsep_022,1988-12-15 21:40:00,1988-12-16 09:40:00,not_found,,,6,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-12-26_20-55.json,gsep_022_1,1988-12-26 20:55:00,1988-12-27 08:55:00,not_found,,,16,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1988-12-28_12-45.json,gsep_022_2,1988-12-28 12:45:00,1988-12-29 00:45:00,not_found,,,12,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-01-04_09-15.json,gsep_023,1989-01-04 09:15:00,1989-01-04 21:15:00,close,1989-01-04 21:25:00,10.00,47,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-03-08_05-55.json,gsep_024,1989-03-08 05:55:00,1989-03-08 17:55:00,close,1989-03-08 17:50:00,-5.00,53,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-03-12_07-25.json,gsep_025,1989-03-12 07:25:00,1989-03-12 19:25:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-03-17_07-00.json,gsep_026,1989-03-17 07:00:00,1989-03-17 19:00:00,close,1989-03-17 18:55:00,-5.00,4,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-03-23_08-55.json,gsep_027,1989-03-23 08:55:00,1989-03-23 20:55:00,not_found,,,2,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-04-09_05-00.json,gsep_027_1,1989-04-09 05:00:00,1989-04-09 17:00:00,close,1989-04-09 17:00:00,0.00,97,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-04-11_03-55.json,gsep_028,1989-04-11 03:55:00,1989-04-11 15:55:00,close,1989-04-11 15:20:00,-35.00,28,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-04-21_17-05.json,gsep_028_1,1989-04-21 17:05:00,1989-04-22 05:05:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-02_04-50.json,gsep_029,1989-05-02 04:50:00,1989-05-02 16:50:00,close,1989-05-02 17:05:00,15.00,24,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-04_20-35.json,gsep_030,1989-05-04 20:35:00,1989-05-05 08:35:00,not_found,,,9,
oneoutput/original_release_outputs/release_gsep_sc22_ts__1989-05-05_18-25.json,gsep_031,1989-05-05 18:25:00,1989-05-06 06:25:00,not_found,,,0,
