sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,total_warning_candidates,notes
gsep_001,1986-02-03 21:25:00,1986-02-04 09:25:00,not_found,,,1,
gsep_002,1986-02-05 05:50:00,1986-02-05 17:50:00,not_found,,,1,
gsep_003,1986-02-05 23:00:00,1986-02-06 11:00:00,not_found,,,1,
gsep_004,1986-02-07 01:00:00,1986-02-07 13:00:00,not_found,,,1,
gsep_005,1986-02-10 09:00:00,1986-02-10 21:00:00,not_found,,,1,
gsep_006,1986-02-14 02:20:00,1986-02-14 14:20:00,not_found,,,1,
gsep_006_1,1986-02-16 14:20:00,1986-02-17 02:20:00,not_found,,,1,
gsep_007,1986-03-06 06:25:00,1986-03-06 18:25:00,not_found,,,1,
gsep_008,1986-05-04 01:00:00,1986-05-04 13:00:00,not_found,,,1,
gsep_008_1,1987-05-29 05:25:00,1987-05-29 17:25:00,not_found,,,1,
gsep_009,1987-11-07 19:50:00,1987-11-08 07:50:00,not_found,,,1,
gsep_010,1987-12-29 14:15:00,1987-12-30 02:15:00,not_found,,,1,
gsep_011,1988-01-02 15:55:00,1988-01-03 03:55:00,not_found,,,1,
gsep_012,1988-03-25 10:50:00,1988-03-25 22:50:00,not_found,,,1,
gsep_013,1988-06-14 17:20:00,1988-06-15 05:20:00,not_found,,,1,
gsep_014,1988-06-29 23:25:00,1988-06-30 11:25:00,not_found,,,1,
gsep_015,1988-07-19 19:00:00,1988-07-20 07:00:00,not_found,,,1,
gsep_016,1988-07-26 09:40:00,1988-07-26 21:40:00,not_found,,,1,
gsep_017,1988-08-25 01:55:00,1988-08-25 13:55:00,not_found,,,1,
gsep_017_1,1988-09-27 09:20:00,1988-09-27 21:20:00,not_found,,,1,
gsep_017_2,1988-10-04 20:55:00,1988-10-05 08:55:00,not_found,,,1,
gsep_018,1988-10-11 18:45:00,1988-10-12 06:45:00,not_found,,,1,
gsep_018_1,1988-10-13 10:00:00,1988-10-13 22:00:00,not_found,,,1,
